,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
360,14.78675,ml,"Sherry, Lustau",Wine,8,64,On the Night You Were Born
361,5,dr,"Absinthe, Lucid",Spirits,21,64,On the Night You Were Born
362,3,dr,"Bitters, Angostura",General,0,64,On the Night You Were Born
363,44.36025,ml,"Virgin Islands Rum, Cruzan Blackstrap",Rum,2,65,Onyx
364,29.5735,ml,"Amer Picon, Amer Boudreau",Liqueur,10,65,Onyx
365,14.78675,ml,Balsamic Vinegar,General,0,65,Onyx
366,7.393375,ml,Cherry Syrup,General,0,65,Onyx
367,22.180125,ml,Batavia Arrack,Rum,2,66,Opium
368,22.180125,ml,"Cognac, Pierre Ferrand 1840",Brandy,5,66,Opium
369,22.180125,ml,Sake,Spirits,21,66,Opium
370,22.180125,ml,Bénédictine,General,0,66,Opium
371,1,ds,"Bitters, Angostura",General,0,66,Opium
372,22.180125,ml,Mezcal (Monte Alban),Mezcal,20,67,The Option Clause
373,22.180125,ml,Cynar 70,Liqueur,10,67,The Option Clause
374,22.180125,ml,Lime juice,General,0,67,The Option Clause
375,14.78675,ml,"Herbal liqueur, Green Chartreuse",Liqueur,10,67,The Option Clause
376,14.78675,ml,"Grapefruit liqueur, Combier Pamplemousse Rose",Liqueur,10,67,The Option Clause
377,1,pn,Kosher Salt,General,0,67,The Option Clause
378,1⁄4,,Serrano (raw),General,0,67,The Option Clause
379,1,twst,Grapefruit peel,General,0,67,The Option Clause
380,44.36025,ml,Bourbon,Whisky,4,68,Orange Sunset
